blz,bic
20040040,COBADEFFXXX
20040048,COBADEFFXXX
20040050,COBADEFFXXX
20040060,COBADEFFXXX
20040061,COBADEFFXXX
20040062,COBADEFFXXX
20040063,COBADEFFXXX
20041111,COBADEHDXXX
20041133,COBADEHD001
20041144,COBADEHD044
20041155,COBADEHD055
20041166,COBADEHD066
20041177,COBADEHD077
20041188,COBADEHD088
20041199,COBADEHD099
20050550,HASPDEHHXXX
20060000,GENODEFF200
20069111,GENODEF1NDR
20069125,GENODEF1KLK
20069130,GENODEF1BBR
20069144,GENODEF1SST
20069177,GENODEF1GRS
20069232,GENODEF1STV
20069641,GENODEF1OWS
20069780,GENODEF1AST
20069782,GENODEF1APE
20069786,GENODEF1DRO
20069800,GENODEF1HAA
20069812,GENODEF1FRB
20069815,GENODEF1815
20069861,GENODEF1RRZ
20069882,GENODEF1RLT
20069965,GENODEF1WIM
20069989,GENODEF1WUL
20070000,DEUTDEHH200
20070000,DEUTDEHH201
20070000,DEUTDEHH202
20070000,DEUTDEHH203
20070000,DEUTDEHH204
20070000,DEUTDEHH205
20070000,DEUTDEHH206
20070000,DEUTDEHH207
20070000,DEUTDEHH209
20070000,DEUTDEHH211
20070000,DEUTDEHH213
20070000,DEUTDEHH219
20070000,DEUTDEHH221
20070000,DEUTDEHH241
20070000,DEUTDEHHXXX
20070024,DEUTDEDB200
20070024,DEUTDEDB201
20070024,DEUTDEDB202
20070024,DEUTDEDB203
20070024,DEUTDEDB204
20070024,DEUTDEDB205
20070024,DEUTDEDB206
20070024,DEUTDEDB207
20070024,DEUTDEDB209
20070024,DEUTDEDB211
20070024,DEUTDEDB213
20070024,DEUTDEDB219
20070024,DEUTDEDB221
20070024,DEUTDEDB241
20070024,DEUTDEDBHAM
20070404,DEUTDEHHP34
20070424,DEUTDEDBP34
20080000,DRESDEFF200
20080055,DRESDEFF207
20080057,DRESDEFF208
20080085,DRESDEFFI56
20080086,DRESDEFFI63
20080087,DRESDEFFI64
20080088,DRESDEFFI74
20080089,DRESDEFFI75
20080091,DRESDEFFJ33
20080092,DRESDEFFJ34
20080093,DRESDEFFJ35
20080094,DRESDEFFJ36
20080095,DRESDEFFJ37
