blz,city,ags,bank,pan
12096597,Halle (Saale),15002000,Sparda-Bank Berlin,91055
12096597,Leipzig,14713000,Sparda-Bank Berlin,91055
12096597,Lutherstadt Wittenberg,15091375,Sparda-Bank Berlin,91055
12096597,Magdeburg,15003000,Sparda-Bank Berlin,91055
12096597,Meiningen,16066042,Sparda-Bank Berlin,91055
12096597,Neubrandenburg,13071107,Sparda-Bank Berlin,91055
12096597,Nordhausen,16062041,Sparda-Bank Berlin,91055
12096597,Pirna,14628270,Sparda-Bank Berlin,91055
12096597,Potsdam,12054000,Sparda-Bank Berlin,91055
12096597,Riesa,14627230,Sparda-Bank Berlin,91055
12096597,Rostock,13003000,Sparda-Bank Berlin,91055
12096597,Saalfeld/Saale,16073077,Sparda-Bank Berlin,91055
12096597,Schwerin,13004000,Sparda-Bank Berlin,91055
12096597,Stendal,15090535,Sparda-Bank Berlin,91055
12096597,Stralsund,13073088,Sparda-Bank Berlin,91055
12096597,Weimar,16055000,Sparda-Bank Berlin,91055
12096597,Weißenfels,15084550,Sparda-Bank Berlin,91055
12096597,Wismar,13074087,Sparda-Bank Berlin,91055
12096597,Wittenberge,12070424,Sparda-Bank Berlin,91055
12096597,Zwickau,14524330,Sparda-Bank Berlin,91055
13000000,Rostock,13003000,Bundesbank,20130
13040000,Rostock,13003000,Commerzbank,24130
13040000,Roggentin,13072087,Commerzbank,24130
13040000,Wismar,13074087,Commerzbank,24130
13050000,Rostock,13003000,Ostseesparkasse Rostock,51399
13050000,Bad Doberan,13072006,Ostseesparkasse Rostock,51399
13050000,Bützow,13072020,Ostseesparkasse Rostock,51399
13050000,Güstrow,13072043,Ostseesparkasse Rostock,51399
13050000,Teterow,13072106,Ostseesparkasse Rostock,51399
13051042,Bergen auf Rügen,13073010,Sparkasse Vorpommern auf Rügen,51303
13061008,Wolgast,13075144,Volksbank Wolgast -alt-,61260
13061008,Wolgast,13075144,Volksbank Wolgast (Gf P2),71260
13061078,Wismar,13074087,Volks- und Raiffeisenbank,61286
13061078,Bobitz,13074008,Volks- und Raiffeisenbank,61286
13061078,Gadebusch,13074021,Volks- und Raiffeisenbank,61286
13061078,Grevesmühlen,13074026,Volks- und Raiffeisenbank,61286
13061078,Insel Poel,13074035,Volks- und Raiffeisenbank,61286
13061078,Klütz,13074039,Volks- und Raiffeisenbank,61286
13061078,Kühlungsborn,13072060,Volks- und Raiffeisenbank,61286
13061078,Lützow,13074050,Volks- und Raiffeisenbank,61286
13061078,Neubukow,13072074,Volks- und Raiffeisenbank,61286
13061078,Neuburg,13074056,Volks- und Raiffeisenbank,61286
13061078,Neukloster,13074057,Volks- und Raiffeisenbank,61286
13061078,Rehna,13074065,Volks- und Raiffeisenbank,61286
13061078,Schönberg,13074074,Volks- und Raiffeisenbank,61286
13061078,Wismar,13074087,Volks- und Raiffeisenbank (Gf P2),71286
13061088,Wismar,13074087,Raiffeisenbank Wismar -alt-,61315
13061128,Bad Doberan,13072006,Raiffeisenbank,61288
13061128,Bad Doberan,13072006,Raiffeisenbank (Gf P2),71288
13070000,Rostock,13003000,Deutsche Bank,27707
13070000,Anklam,13075005,Deutsche Bank,27707
13070000,Bad Doberan,13072006,Deutsche Bank,27707
13070000,Barth,13073009,Deutsche Bank,27707
13070000,Bergen auf Rügen,13073010,Deutsche Bank,27707
13070000,Bützow,13072020,Deutsche Bank,27707
13070000,Demmin,13071029,Deutsche Bank,27707
13070000,Gadebusch,13074021,Deutsche Bank,27707
13070000,Greifswald,13075039,Deutsche Bank,27707
13070000,Grevesmühlen,13074026,Deutsche Bank,27707
13070000,Grimmen,13073035,Deutsche Bank,27707
13070000,Güstrow,13072043,Deutsche Bank,27707
13070000,Hagenow,13076060,Deutsche Bank,27707
13070000,Ludwigslust,13076090,Deutsche Bank,27707
13070000,Lübz,13076089,Deutsche Bank,27707
13070000,Malchin,13071092,Deutsche Bank,27707
13070000,Neubrandenburg,13071107,Deutsche Bank,27707
13070000,Neustrelitz,13071110,Deutsche Bank,27707
13070000,Parchim,13076108,Deutsche Bank,27707
13070000,Perleberg,12070296,Deutsche Bank,27707
13070000,Plau am See,13076114,Deutsche Bank,27707
13070000,Prenzlau,12073452,Deutsche Bank,27707
13070000,Ribnitz-Damgarten,13073075,Deutsche Bank,27707
13070000,Sassnitz,13073080,Deutsche Bank,27707
13070000,Schwerin,13004000,Deutsche Bank,27707
13070000,Stavenhagen,13071142,Deutsche Bank,27707
13070000,Stralsund,13073088,Deutsche Bank,27707
13070000,Templin,12073572,Deutsche Bank,27707
13070000,Teterow,13072106,Deutsche Bank,27707
13070000,Torgelow,13075131,Deutsche Bank,27707
13070000,Ueckermünde,13075136,Deutsche Bank,27707
13070000,Waren (Müritz),13071156,Deutsche Bank,27707
