bic_8,bic,bank
CLSSSGSG,CLSSSGSGCWM,CLSA SINGAPORE PTE LTD.
CLSSSGSG,CLSSSGSGXXX,CLSA SINGAPORE PTE LTD.
CMBCSGSG,CMBCSGSGPBD,CHINA MERCHANTS BANK SINGAPORE BRANCH
CMBCSGSG,CMBCSGSGXXX,CHINA MERCHANTS BANK SINGAPORE BRANCH
CMCISGSG,CMCISGSGXXX,CREDIT INDUSTRIEL ET COMMERCIAL
CMCKSGS2,CMCKSGS2XXX,CMC MARKETS SINGAPORE PTE. LTD.
CMSESGSG,CMSESGSGJPS,J.P. MORGAN (S.E.A.) LIMITED
CMSESGSG,CMSESGSGXXX,J.P. MORGAN (S.E.A.) LIMITED
CNORSGSG,CNORSGSGCOL,THE NORTHERN TRUST COMPANY
CNORSGSG,CNORSGSGETD,THE NORTHERN TRUST COMPANY
CNORSGSG,CNORSGSGOTC,THE NORTHERN TRUST COMPANY
CNORSGSG,CNORSGSGXXX,THE NORTHERN TRUST COMPANY
CNSPSGS2,CNSPSGS2XXX,CCB INTERNATIONAL (SINGAPORE) PTE. LTD.
COBASGSX,COBASGSXXXX,"COMMERZBANK AG, SINGAPORE BRANCH"
COMMSGSG,COMMSGSGXXX,"BANK OF COMMUNICATIONS CO., LTD SINGAPORE BRANCH"
CPPESGS1,CPPESGS1XXX,KORU PARTNERS PTE. LTD
CRESSGSG,CRESSGSGXXX,UBS AG SINGAPORE BRANCH
CRLYSGSG,CRLYSGSG940,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK
CRLYSGSG,CRLYSGSGCOM,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK
CRLYSGSG,CRLYSGSGXXX,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK
CSFBSGSE,CSFBSGSEVIS,CREDIT SUISSE (SINGAPORE) SECURITIES PTE LIMITED
CSFBSGSE,CSFBSGSEXXX,CREDIT SUISSE (SINGAPORE) SECURITIES PTE LIMITED
CSFBSGSX,CSFBSGSXVIS,CREDIT SUISSE (SINGAPORE) LIMITED
